label,label_name,video_group,left_knee_angle,right_knee_angle,avg_knee_angle,knee_angle_diff,left_hip_angle,right_hip_angle,avg_hip_angle,hip_angle_diff,left_trunk_angle,right_trunk_angle,avg_trunk_angle,left_ankle_angle,right_ankle_angle,avg_ankle_angle,spine_lean_angle,left_elbow_angle,right_elbow_angle,left_hip_knee_y_diff,right_hip_knee_y_diff,avg_hip_knee_y_diff,hip_below_knee,left_knee_toe_x_diff,right_knee_toe_x_diff,avg_knee_toe_x_diff,knee_ankle_width_ratio,shoulder_hip_width_ratio,stance_width,hip_y_symmetry,shoulder_y_symmetry,knee_y_symmetry,ankle_y_symmetry,nose_rel_x,nose_rel_y,l_shoulder_rel_x,l_shoulder_rel_y,r_shoulder_rel_x,r_shoulder_rel_y,l_hip_rel_x,l_hip_rel_y,r_hip_rel_x,r_hip_rel_y,l_knee_rel_x,l_knee_rel_y,r_knee_rel_x,r_knee_rel_y,l_ankle_rel_x,l_ankle_rel_y,r_ankle_rel_x,r_ankle_rel_y,l_foot_rel_x,l_foot_rel_y,r_foot_rel_x,r_foot_rel_y,body_height_range,score_knee_depth,score_knee_symmetry,score_knee_valgus,score_spine_upright,score_hip_hinge,score_body_symmetry,form_score,source_file
1,good_form,1,84.36697176441298,87.76356547625699,86.06526862033499,3.3965937118440053,82.02691928002285,82.93365834948081,82.48028881475183,0.9067390694579558,158.85033209264802,159.86581516463778,159.3580736286429,111.81254336957402,120.69641612162496,116.2544797455995,20.688652471222895,161.37814597792772,150.96550692473775,-0.021834909915924072,-0.021649539470672607,-0.02174222469329834,0.0,-0.015631556510925293,-0.011700689792633057,-0.013666123151779175,0.10078250703989836,13.02384355748432,0.015029311180114746,0.02806246280670166,0.010914266109466553,0.028247833251953125,0.04121863842010498,-0.13017362356185913,-0.18551033735275269,-0.08086878061294556,-0.19309169054031372,-0.06084942817687988,-0.18217742443084717,-0.0007680654525756836,0.01403123140335083,0.0007680654525756836,-0.01403123140335083,-0.09408479928970337,0.0358661413192749,-0.09257000684738159,0.007618308067321777,-0.02804011106491089,0.22983944416046143,-0.043069422245025635,0.18862080574035645,-0.07845324277877808,0.27307480573654175,-0.08086931705474854,0.22775691747665405,0.42293113470077515,25.0,13.73,0.0,13.1,9.75,6.1,67.684,1_frame_00185.jpg
1,good_form,1,121.5779204370368,129.0863019672317,125.33211120213424,7.508381530194896,113.24046843024348,118.05789449357769,115.64918146191059,4.81742606333421,156.10945258343733,157.38533128776916,156.74739193560325,118.40718343566037,127.72614616846978,123.06666480206508,23.276741289684015,168.4673899214196,165.9476371033583,-0.11084580421447754,-0.11312752962112427,-0.1119866669178009,0.0,-0.0058931708335876465,0.007982134819030762,0.0010444819927215576,1.3610548163346248,10.551894486588735,0.008501231670379639,0.0007060766220092773,0.016911625862121582,0.0015756487846374512,0.02350640296936035,-0.14571326971054077,-0.21123602986335754,-0.09642171859741211,-0.21584740281105042,-0.08201342821121216,-0.19893577694892883,-0.0006822347640991211,0.00035303831100463867,0.0006822347640991211,-0.00035303831100463867,-0.10359197854995728,0.11119884252548218,-0.09201997518539429,0.11277449131011963,-0.04692584276199341,0.3148784637451172,-0.05542707443237305,0.29137206077575684,-0.09769880771636963,0.36383485794067383,-0.10000211000442505,0.34321141242980957,0.5307258665561676,15.19,12.18,20.0,12.24,6.44,8.24,74.284,1_frame_00195.jpg
1,good_form,1,127.99678266060485,130.80002035155363,129.39840150607924,2.8032376909487766,124.88353060293002,128.25681757574773,126.57017408933888,3.3732869728177093,162.1853841465618,163.34322523617126,162.76430469136653,116.13019361123305,117.28163693034345,116.70591527078825,17.279611498255218,160.7820643212747,174.00693828029742,-0.10081952810287476,-0.10330897569656372,-0.10206425189971924,0.0,-0.0011795759201049805,-0.0005048513412475586,-0.0008422136306762695,1.9365093440679277,12.986563290628421,0.00280839204788208,0.014643728733062744,0.018660157918930054,0.01215428113937378,0.014329791069030762,-0.11037343740463257,-0.19631409645080566,-0.06588375568389893,-0.19592750072479248,-0.050208449363708496,-0.17726734280586243,-0.000603020191192627,0.007321864366531372,0.000603020191192627,-0.007321864366531372,-0.07743120193481445,0.10814139246940613,-0.07199078798294067,0.09598711133003235,-0.02760523557662964,0.2981654703617096,-0.02479684352874756,0.28383567929267883,-0.07625162601470947,0.34019312262535095,-0.07148593664169312,0.32497861981391907,0.49447956681251526,14.06,13.95,20.0,14.24,5.34,6.67,74.258,1_frame_00240.jpg
1,good_form,1,83.4936875245295,88.57874970982955,86.03621861717953,5.085062185300046,75.64000362343918,83.05460368883452,79.34730365613686,7.414600065395334,155.60670251059707,158.44216959302332,157.0244360518102,118.50359208473276,124.18778200912229,121.34568704692752,23.09736279757139,176.48876341364704,161.46645665904495,-0.02051311731338501,-0.02641516923904419,-0.0234641432762146,0.0,-0.00863105058670044,-0.008963942527770996,-0.008797496557235718,0.44868912887952817,0.29430838971810497,0.011750578880310059,0.016016125679016113,0.016599059104919434,0.010114073753356934,0.026193559169769287,-0.14338627457618713,-0.2083175778388977,-0.09002670645713806,-0.2125205397605896,-0.08416721224784851,-0.19592148065567017,0.009954184293746948,0.008008062839508057,-0.009954184293746948,-0.008008062839508057,-0.10605505108833313,0.028521180152893066,-0.11132785677909851,0.018407106399536133,-0.04869070649147034,0.22175687551498413,-0.060441285371780396,0.19556331634521484,-0.09742400050163269,0.27055823802948,-0.10236391425132751,0.24591124057769775,0.43427741527557373,25.0,13.09,0.0,12.3,10.0,6.74,67.132,1_frame_00245.jpg
0,bad_form,1,96.78601361590813,100.16862651547544,98.47732006569179,3.382612899567306,90.31774231267157,96.20854304316575,93.26314267791867,5.890800730494178,156.54100131648562,159.7501849726898,158.1455931445877,108.28545877678218,119.1615970763157,113.72352792654894,22.037488533638207,172.82304966235012,167.98642281554956,-0.04247003793716431,-0.04294002056121826,-0.042705029249191284,0.0,-0.0166168212890625,-0.015153765678405762,-0.01588529348373413,0.11569820060154215,1.296425126408665,0.01253420114517212,0.02092456817626953,0.016830086708068848,0.020454585552215576,0.04866600036621094,-0.12499991059303284,-0.18471002578735352,-0.07839378714561462,-0.18356388807296753,-0.0634031593799591,-0.16673380136489868,0.005781024694442749,0.010462284088134766,-0.005781024694442749,-0.010462284088134766,-0.09064581990242004,0.05293232202529907,-0.09209612011909485,0.032477736473083496,-0.0257207453250885,0.2655022144317627,-0.03825494647026062,0.21683621406555176,-0.07402899861335754,0.2996698021888733,-0.07694235444068909,0.25612908601760864,0.4502122402191162,22.65,13.73,0.0,12.65,8.67,6.22,63.929,1_frame_00255.jpg
1,good_form,1,133.69037185251884,140.29876359409542,136.9945677233071,6.6083917415765825,129.20668761121308,135.00131465601055,132.1040011336118,5.7946270447974655,161.6153379926716,163.4948879354396,162.5551129640556,115.21543874480876,119.90119900945719,117.55831887713298,17.490615502544458,161.80538449360532,159.0413160889342,-0.14276635646820068,-0.1398940086364746,-0.14133018255233765,0.0,0.0027874112129211426,0.006859719753265381,0.004823565483093262,2.020376720584776,1.795577094276118,0.00448453426361084,0.0007036328315734863,0.023035526275634766,0.0035759806632995605,0.02181100845336914,-0.13684967160224915,-0.2616306245326996,-0.07744953036308289,-0.24124667048454285,-0.0673348605632782,-0.21821114420890808,0.0028160512447357178,0.00035181641578674316,-0.0028160512447357178,-0.00035181641578674316,-0.087836354970932,0.14311817288398743,-0.07877388596534729,0.13954219222068787,-0.03806188702583313,0.344341903924942,-0.04254642128944397,0.3225308954715729,-0.09062376618385315,0.38707467913627625,-0.08563360571861267,0.36012181639671326,0.6059725284576416,11.95,12.52,20.0,14.17,4.79,7.63,71.053,1_frame_00265.jpg
0,bad_form,3,155.60842050201097,159.01684778672714,157.31263414436904,3.4084272847161685,148.5636937187839,156.0179570995517,152.29082540916778,7.454263380767799,166.22488457678725,170.75670008160495,168.4907923291961,123.43145800162301,138.17856056716354,130.8050092843933,11.473261524735205,15.743231145234253,34.173532755439965,-0.1311764121055603,-0.15907049179077148,-0.1451234519481659,0.0,-0.017950981855392456,-0.014114558696746826,-0.01603277027606964,0.8963089863805416,1.5384672341552055,0.029483884572982788,0.009404599666595459,0.015909254550933838,0.018489480018615723,0.05888497829437256,0.06125791370868683,-0.2777920365333557,0.05880330502986908,-0.18122020363807678,0.017989352345466614,-0.19712945818901062,0.013263985514640808,0.0047022998332977295,-0.013263985514640808,-0.0047022998332977295,0.05505166947841644,0.13587871193885803,0.028624102473258972,0.15436819195747375,0.03669922053813934,0.2917328178882599,0.007215335965156555,0.35061779618263245,0.0730026513338089,0.32235994935035706,0.0427386611700058,0.40025386214256287,0.6284098327159882,6.3,13.72,11.32,16.18,2.77,7.47,57.762,3_frame_00025.jpg
1,good_form,3,128.13530070154508,135.7819270453928,131.95861387346895,7.646626343847714,124.40521990240742,133.56143666846336,128.9833282854354,9.156216766055934,164.83370214370018,167.37858503253568,166.10614358811793,117.99343021309781,136.79288154525474,127.39315587917628,13.880311898233726,18.99144748155396,32.201284215501374,-0.07038557529449463,-0.09205901622772217,-0.0812222957611084,0.0,-0.0020314157009124756,0.003216177225112915,0.0005923807621002197,0.8700689084683696,1.287959183668927,0.02935117483139038,0.004897356033325195,0.007042407989501953,0.016776084899902344,0.05281376838684082,0.06968441605567932,-0.26688364148139954,0.06142991781234741,-0.17405366897583008,0.02633175253868103,-0.18109607696533203,0.013624995946884155,0.0024486780166625977,-0.013624995946884155,-0.0024486780166625977,0.07360777258872986,0.07283425331115723,0.04806935787200928,0.08961033821105957,0.04354351758956909,0.22161775827407837,0.014192342758178711,0.2744315266609192,0.07563918828964233,0.24800211191177368,0.04485318064689636,0.3219812512397766,0.5413151681423187,13.34,12.13,10.57,15.37,5.1,8.81,65.332,3_frame_00045.jpg
1,good_form,3,114.46137283646833,126.24903911325963,120.35520597486398,11.787666276791299,111.69246481294756,125.20551966501705,118.4489922389823,13.513054852069487,164.4441768988425,167.1103459424392,165.77726142064085,110.59944247760674,134.05564599180795,122.32754423470735,14.211392308104518,20.147529795097615,35.00277259129305,-0.04781925678253174,-0.0732225775718689,-0.06052091717720032,0.0,0.0002861917018890381,0.0070875585079193115,0.003686875104904175,0.8665656561795259,1.308587776145434,0.027068257331848145,0.002377748489379883,0.003992795944213867,0.023025572299957275,0.052878499031066895,0.07041206955909729,-0.260981023311615,0.06072583794593811,-0.16988283395767212,0.026331663131713867,-0.173875629901886,0.013141214847564697,0.0011888742446899414,-0.013141214847564697,-0.0011888742446899414,0.07605335116386414,0.04900813102722168,0.052596062421798706,0.07203370332717896,0.04128986597061157,0.20233172178268433,0.014221608638763428,0.2552102208137512,0.0757671594619751,0.22504597902297974,0.045508503913879395,0.301408588886261,0.5161912441253662,16.57,10.58,10.47,15.26,6.16,9.36,68.402,3_frame_00050.jpg
1,good_form,3,79.70339097357318,99.02191575163243,89.3626533626028,19.318524778059256,78.59374451268457,98.18483421334106,88.38928936301281,19.591089700656497,165.11931217334802,165.39852708481766,165.25891962908284,120.11423534224772,134.25442418153267,127.1843297618902,14.724416397894757,23.769239208333815,32.73402072524309,-0.004185080528259277,-0.029839932918548584,-0.01701250672340393,0.0,0.006273806095123291,0.010270893573760986,0.008272349834442139,0.832215021891317,0.927085865622922,0.02745574712753296,0.00520479679107666,0.004994064569473267,0.030859649181365967,0.04975020885467529,0.07733359932899475,-0.25444820523262024,0.05590265989303589,-0.1666155755519867,0.03298366069793701,-0.17160964012145996,0.01236027479171753,-0.00260239839553833,-0.01236027479171753,0.00260239839553833,0.08156394958496094,0.0015826821327209473,0.05871403217315674,0.032442331314086914,0.044584721326828,0.15260940790176392,0.017128974199295044,0.2023596167564392,0.07529014348983765,0.182134747505188,0.04844313859939575,0.2524959444999695,0.45680782198905945,25.0,7.76,9.49,15.09,9.16,8.98,75.48,3_frame_00075.jpg
